date,Month,#Passengers
1/1/1949,1,112
2/1/1949,2,118
3/1/1949,3,132
4/1/1949,4,129
5/1/1949,5,121
6/1/1949,6,135
7/1/1949,7,148
8/1/1949,8,148
9/1/1949,9,136
10/1/1949,10,119
11/1/1949,11,104
12/1/1949,12,118
1/1/1950,1,115
2/1/1950,2,126
3/1/1950,3,141
4/1/1950,4,135
5/1/1950,5,125
6/1/1950,6,149
7/1/1950,7,170
8/1/1950,8,170
9/1/1950,9,158
10/1/1950,10,133
11/1/1950,11,114
12/1/1950,12,140
1/1/1951,1,145
2/1/1951,2,150
3/1/1951,3,178
4/1/1951,4,163
5/1/1951,5,172
6/1/1951,6,178
7/1/1951,7,199
8/1/1951,8,199
9/1/1951,9,184
10/1/1951,10,162
11/1/1951,11,146
12/1/1951,12,166
1/1/1952,1,171
2/1/1952,2,180
3/1/1952,3,193
4/1/1952,4,181
5/1/1952,5,183
6/1/1952,6,218
7/1/1952,7,230
8/1/1952,8,242
9/1/1952,9,209
10/1/1952,10,191
11/1/1952,11,172
12/1/1952,12,194
1/1/1953,1,196
2/1/1953,2,196
3/1/1953,3,236
4/1/1953,4,235
5/1/1953,5,229
6/1/1953,6,243
7/1/1953,7,264
8/1/1953,8,272
9/1/1953,9,237
10/1/1953,10,211
11/1/1953,11,180
12/1/1953,12,201
1/1/1954,1,204
2/1/1954,2,188
3/1/1954,3,235
4/1/1954,4,227
5/1/1954,5,234
6/1/1954,6,264
7/1/1954,7,302
8/1/1954,8,293
9/1/1954,9,259
10/1/1954,10,229
11/1/1954,11,203
12/1/1954,12,229
1/1/1955,1,242
2/1/1955,2,233
3/1/1955,3,267
4/1/1955,4,269
5/1/1955,5,270
6/1/1955,6,315
7/1/1955,7,364
8/1/1955,8,347
9/1/1955,9,312
10/1/1955,10,274
11/1/1955,11,237
12/1/1955,12,278
1/1/1956,1,284
2/1/1956,2,277
3/1/1956,3,317
4/1/1956,4,313
5/1/1956,5,318
6/1/1956,6,374
7/1/1956,7,413
8/1/1956,8,405
9/1/1956,9,355
10/1/1956,10,306
11/1/1956,11,271
12/1/1956,12,306
1/1/1957,1,315
2/1/1957,2,301
3/1/1957,3,356
4/1/1957,4,348
5/1/1957,5,355
6/1/1957,6,422
7/1/1957,7,465
8/1/1957,8,467
9/1/1957,9,404
10/1/1957,10,347
11/1/1957,11,305
12/1/1957,12,336
1/1/1958,1,340
2/1/1958,2,318
3/1/1958,3,362
4/1/1958,4,348
5/1/1958,5,363
6/1/1958,6,435
7/1/1958,7,491
8/1/1958,8,505
9/1/1958,9,404
10/1/1958,10,359
11/1/1958,11,310
12/1/1958,12,337
1/1/1959,1,360
2/1/1959,2,342
3/1/1959,3,406
4/1/1959,4,396
5/1/1959,5,420
6/1/1959,6,472
7/1/1959,7,548
8/1/1959,8,559
9/1/1959,9,463
10/1/1959,10,407
11/1/1959,11,362
12/1/1959,12,405
1/1/1960,1,417
2/1/1960,2,391
3/1/1960,3,419
4/1/1960,4,461
5/1/1960,5,472
6/1/1960,6,535
7/1/1960,7,622
8/1/1960,8,606
9/1/1960,9,508
10/1/1960,10,461
11/1/1960,11,390
12/1/1960,12,432
